id,CALL_RDD_RECORD,CALL_RDD_CNT,CALL_RDD_CNT_IN,CALL_RDD_LOCAL,CALL_RDD_IN_PROVINCE,CALL_RDD_BY_PROVINCE,CALL_RDD_GAT,CALL_RDD_INTERNATIONAL,CALL_RDD_TIME,CALL_RDD_TIME_IN,CALL_RDD_TIME_INOUTRATIO,CALL_RDD_TIME_PERSON,CALL_RDD_TIME_BUSINESS,CALL_RDD_TIME_PBRATIO,CALL_RDD_PERSON,CALL_RDD_PERSON_IN,CALL_RDD_PERSON_RATIO,CALL_RDD_BUSINESS,CALL_RDD_BUSINESS_IN,CALL_RDD_BUSINESS_RATIO,CALL_RDD_PBRATIO,CALL_RDD_HOWMANYPERSON,CALL_RDD_HOWMANYBUSINESS,CALL_RDD_AVGTIME,CALL_RDD_DAYTIME,CALL_RDD_AFTERNOON,CALL_RDD_NIGHT,CALL_RDD_BEFOREDAWN,CALL_RDD_MAXTIME,CALL_RDD_MINTIME,CALL_RDD_TIMEVAR,CALL_RDD_MEANFREQ,CALL_RDD_MINFREQ,CALL_RDD_MAXFREQ,CALL_RDD_VARFREQ,CALL_RDD_FREQONEDAY,CALL_RDD_SHORTTIME,CALL_RDD_LONGTIME,CALL_RDD_LLONGTIME,CALL_RDD_LIANTONG,CALL_RDD_YIDONG,CALL_RDD_DIANXIN,CALL_RDD_KEFU,CALL_RDD_DAYWITHCALL,CALL_RDD_DAYWITHCALLIN,CALL_RDD_DAYWITHCALLOUT,CALL_RDD_DAY40TODAY45_CNT,CALL_RDD_DAY40TODAY45_IN,CALL_RDD_DAY40TODAY45_INOUTRATIO,CALL_RDD_DAY40TODAY45_RECORD,CALL_RDD_DAY40TODAY45_TIME,CALL_RDD_DAY40TODAY45_TIME_AVG,CALL_RDD_DAY40TODAY45_TIME_IN,CALL_RDD_DAY40TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY40TODAY45_TIME_VAR,CALL_RDD_DAY38TODAY45_CNT,CALL_RDD_DAY38TODAY45_IN,CALL_RDD_DAY38TODAY45_INOUTRATIO,CALL_RDD_DAY38TODAY45_RECORD,CALL_RDD_DAY38TODAY45_TIME,CALL_RDD_DAY38TODAY45_TIME_AVG,CALL_RDD_DAY38TODAY45_TIME_IN,CALL_RDD_DAY38TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY38TODAY45_TIME_VAR,CALL_RDD_DAY30TODAY45_CNT,CALL_RDD_DAY30TODAY45_IN,CALL_RDD_DAY30TODAY45_INOUTRATIO,CALL_RDD_DAY30TODAY45_RECORD,CALL_RDD_DAY30TODAY45_TIME,CALL_RDD_DAY30TODAY45_TIME_AVG,CALL_RDD_DAY30TODAY45_TIME_IN,CALL_RDD_DAY30TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY30TODAY45_TIME_VAR,CALL_RDD_DAY42TODAY45_CNT,CALL_RDD_DAY42TODAY45_IN,CALL_RDD_DAY42TODAY45_INOUTRATIO,CALL_RDD_DAY42TODAY45_RECORD,CALL_RDD_DAY42TODAY45_TIME,CALL_RDD_DAY42TODAY45_TIME_AVG,CALL_RDD_DAY42TODAY45_TIME_IN,CALL_RDD_DAY42TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY42TODAY45_TIME_VAR,label
u3294,1,28,13,14,7,7,0,0,29.41666603,7.699999809,0.261755496,15.60000038,13.8166666,0.530309796,23,12,0.52173686,5,1,0.199995995,0.821425617,0,17,1.050591469,11,14,8,1,4.916666508,0.033333335,1.353437304,38.27097321,0.016666668,193.4333344,3444.8125,0.627105474,22,0,0,9,7,1,4,12,7,9,2,2,1,1,1.133333325,0.566666663,1.133333325,1,0.080277778,2,2,1,1,1.133333325,0.566666663,1.133333325,1,0.080277778,10,5,0.5,1,5.033333302,0.50333333,2.566666603,0.50993377,0.075822219,2,2,1,1,1.133333325,0.566666663,1.133333325,1,0.080277778,0
u2147,1,170,91,158,8,4,0,0,227.5833282,124.5166702,0.54712534,207.5833282,20,0.912119687,153,85,0.555555165,17,6,0.352939099,0.899999499,3,71,1.338724732,61,89,37,3,28.11666679,0.016666668,9.165052414,6.300788403,0,71.1166687,104.158844,3.808986664,117,5,2,18,24,89,0,39,34,32,28,19,0.678571403,1,50.40000153,1.799999952,33.48333359,0.664351881,20.57079315,35,24,0.685714304,1,58.79999924,1.679999948,40.58333206,0.690192759,16.86393356,63,38,0.603174627,1,79.03333282,1.254497409,50.66666794,0.641079724,10.03339672,17,10,0.588235319,1,21.88333321,1.28725493,6.5,0.297029704,4.813742638,0
u4232,1,3,3,3,0,0,0,0,1.166666627,1.166666627,0.999914289,0.866666675,0.300000012,0.7427935,2,2,0.999949992,1,1,0.999899983,0.666644454,0,3,0.388875932,2,1,0,0,0.466666669,0.300000012,0.004691202,156.9325562,100.2666702,213.6000061,3211.094971,0.152931854,3,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
u2458,1,242,126,238,4,0,0,0,312.9333191,178.6166687,0.570781648,301.1333313,11.80000019,0.962291956,228,126,0.552631319,14,0,0,0.942148387,0,42,1.293112397,88,114,36,66,9.833333015,0.033333335,1.724118471,4.385062218,0,51.41666794,56.15481949,5.473001957,131,8,0,39,143,30,0,43,39,34,26,14,0.538461566,1,26.35000038,1.01346159,10.8166666,0.410499692,1.606880784,34,15,0.441176474,1,40.98333359,1.205392122,12.5666666,0.306628704,1.679750323,68,32,0.470588237,1,78.73332977,1.157843113,35.56666565,0.451735824,1.443288207,14,6,0.428571433,1,19.25,1.375,7.150000095,0.371428579,2.583085299,0
u3531,1,626,183,594,19,13,0,0,493.7166748,141.9666595,0.287546784,454.7000122,39.01666641,0.920973361,580,176,0.30344823,46,7,0.152173579,0.926517427,0,258,0.788684666,258,436,63,2,17.25,0.016666668,0.835102141,1.703439951,0,22.71666718,17.46073914,14.08831024,484,2,0,188,310,80,3,45,44,45,79,20,0.25316456,1,61.13333511,0.773839653,19.54999924,0.319792807,0.48411873,89,24,0.269662917,1,67.96666718,0.763670385,22.71666718,0.334232479,0.471863687,196,51,0.260204077,1,150.3500061,0.767091811,44.76666641,0.297749698,0.411974013,53,14,0.264150947,1,45.16666794,0.852201283,16.53333282,0.366051674,0.622201681,0
u0244,1,318,162,277,5,36,0,0,1112.800049,584.7333374,0.525461257,1100.766724,12.03333378,0.989186347,310,155,0.499999851,8,7,0.874989092,0.974842489,0,95,3.49936986,129,165,71,25,32.76666641,0.100000001,20.71246719,3.352208138,0,53,37.1840477,7.159246445,106,63,5,8,267,33,0,43,39,41,38,20,0.526315808,1,119.8833313,3.154824495,65.46666718,0.54608649,18.73257256,54,28,0.518518507,1,162.75,3.013888836,94.90000153,0.583102942,15.50468922,122,61,0.5,1,429.4666748,3.520218611,243.8166656,0.567719638,20.51356697,20,12,0.600000024,1,41.29999924,2.065000057,13.86666679,0.335754633,5.65977478,0
u3749,1,138,76,120,0,18,0,0,297.0166626,85.75,0.288704246,295.2666626,1.75,0.994107723,135,75,0.555555165,3,1,0.333322227,0.978260159,1,35,2.152293205,36,80,56,3,84.83333588,0.016666668,61.7853775,7.618125916,0,89.69999695,167.6468353,3.150339842,101,7,2,40,82,8,1,36,29,27,11,3,0.272727281,1,51.93333435,4.72121191,12.88333321,0.248074457,79.41308594,19,8,0.421052635,1,58.41666794,3.074561357,17.86666679,0.305848777,49.93612289,73,41,0.561643839,1,111.8166656,1.531735182,55.56666565,0.496944398,15.97275639,9,2,0.222222224,1,39.08333206,4.342592716,1.450000048,0.037100215,90.69790649,0
u0059,1,3,1,3,0,0,0,0,1.799999952,0.083333336,0.046293724,1.799999952,0,0.999944448,3,1,0.333322227,0,0,0,0.999966681,0,2,0.599979997,0,1,3,0,1.399999976,0.083333336,0.329063118,430.5395203,96.66666412,764.416687,111471.9609,0.055744,2,0,0,3,0,0,0,3,1,2,1,0,0,1,0.316666663,0.316666663,0,0,0,1,0,0,1,0.316666663,0.316666663,0,0,0,1,0,0,1,0.316666663,0.316666663,0,0,0,0,0,0,0,0,0,0,0,0,0
u1830,1,52,19,51,1,0,0,0,90.3666687,18.86666679,0.208778813,81.96666718,8.399999619,0.907044351,49,19,0.387754321,3,0,0,0.942305863,0,19,1.737817168,17,27,9,7,10.39999962,0.016666668,3.987653732,20.76045418,0.016666668,306.3500061,2778.289795,1.156038523,24,5,0,12,9,28,1,21,10,18,16,7,0.4375,1,23.64999962,1.478124976,9.100000381,0.384778023,1.811101317,23,9,0.391304344,1,33.5,1.456521749,11.14999962,0.332835823,1.549824595,46,17,0.369565219,1,86.3833313,1.877898574,18.31666756,0.212039366,4.319952488,11,6,0.545454562,1,14.3166666,1.301515102,8.75,0.611175776,0.8054775,0
u0864,1,126,69,99,0,27,0,0,391.7000122,220.6666718,0.563356161,390.3833313,1.316666722,0.996638358,125,68,0.543999553,1,1,0.999899983,0.992062688,0,21,3.108727694,65,59,23,2,29.81666756,0.033333335,23.17643547,8.295999527,0,70.76667023,153.6031647,2.892925739,47,14,4,41,65,19,0,38,33,23,5,3,0.600000024,1,37.43333435,7.486666679,29.91666603,0.799198568,58.21459961,7,5,0.714285731,1,45.16666794,6.452381134,37.65000153,0.833579361,46.63154221,40,17,0.425000012,1,131.7333374,3.293333292,68.44999695,0.519610345,23.18884468,4,2,0.5,1,36.11666489,9.029166222,28.60000038,0.791878164,60.87171936,0
u1994,1,49,47,47,2,0,0,0,53.5,52.53333282,0.9819296,53,0.5,0.990652382,48,46,0.958331347,1,1,0.999899983,0.97958982,0,23,1.091834545,24,22,11,7,4.583333492,0.150000006,0.836326241,20.20277405,0.016666668,170.6666718,840.9805298,1.187949777,30,0,0,8,35,3,0,25,25,1,14,12,0.857142866,1,17.98333359,1.284523845,17.01666641,0.946246505,0.739383519,14,12,0.857142866,1,17.98333359,1.284523845,17.01666641,0.946246505,0.739383519,26,24,0.923076928,1,32.34999847,1.244230747,31.38333321,0.970118523,1.258396149,10,8,0.800000012,1,11,1.100000024,10.03333378,0.912121236,0.511555552,0
u2415,1,2,0,0,2,0,0,0,0.566666663,0,0,0.566666663,0,0.99982357,2,0,0,0,0,0,0.999949992,0,1,0.283319175,1,1,0,0,0.283333331,0.283333331,2.01E-10,835.3583374,835.3666382,835.3666382,6.98E-05,0.028730182,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0.283333331,0.283333331,0,0,0,1,0,0,1,0.283333331,0.283333331,0,0,0,0,0,0,0,0,0,0,0,0,0
u4749,1,2,0,2,0,0,0,0,1.049999952,0,0,1.049999952,0,0.999904752,2,0,0,0,0,0,0.999949992,0,1,0.52497375,0,2,2,0,1.033333302,0.016666668,0.25838986,0.0166665,0.016666668,0.016666668,2.78E-14,1431.425781,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1.049999952,0.524999976,0,0,0.258402765,0,0,0,0,0,0,0,0,0,1
u2720,1,49,13,35,0,14,0,0,60.56666565,8.566666603,0.141441703,47.91666794,12.64999962,0.791137934,38,11,0.289472908,11,2,0.181816533,0.775508642,0,32,1.236051917,30,21,11,1,12.03333378,0.150000006,2.921948195,15.02777481,0,225.0500031,1418.996582,1.597032189,26,1,0,14,14,2,5,14,9,10,6,3,0.5,1,7.266666889,1.211111069,1.716666698,0.236238539,0.581450641,9,4,0.444444448,1,9.25,1.027777791,2.900000095,0.313513517,0.500370383,12,4,0.333333343,1,12.88333321,1.07361114,2.900000095,0.22509703,0.382058263,4,2,0.5,1,5.333333492,1.333333373,1.316666722,0.246875003,0.666805565,0
u2270,1,177,62,135,41,1,0,0,195.5833282,75.46666718,0.385854095,194.3999939,1.183333278,0.993949234,176,61,0.346590698,1,1,0.999899983,0.994349718,0,43,1.104990005,118,59,9,20,10.66666698,0.033333335,1.589561462,6.031533718,0,73.6166687,126.1794586,3.979021549,111,3,0,18,109,49,0,38,32,31,27,6,0.222222224,1,36.13333511,1.338271618,8.850000381,0.244926199,1.304440618,36,12,0.333333343,1,40.65000153,1.129166722,12.36666679,0.304223031,1.144511938,66,22,0.333333343,1,67.06666565,1.016161561,20.48333359,0.305417508,0.97177583,21,5,0.238095239,1,32.04999924,1.526190519,7.616666794,0.2376495,1.473798156,0
u0548,1,52,29,38,14,0,0,0,267.1833191,126.4666672,0.473332733,266.2333374,0.949999988,0.996443987,49,26,0.530611157,3,3,0.999966681,0.942305863,0,11,5.138131142,17,27,14,2,115,0.100000001,328.1528015,20.40587807,0.283333331,96.3833313,376.069519,1.176125884,43,3,3,0,47,1,0,32,18,17,9,6,0.666666687,1,136.75,15.19444466,21.38333321,0.156368062,1259.932983,11,7,0.636363626,1,137.6666718,12.51515198,21.5,0.156174332,1063.179199,16,11,0.6875,1,139.5333405,8.720833778,23.21666718,0.16638796,762.621521,6,4,0.666666687,1,136.3166656,22.71944427,21.14999962,0.155153438,1720.021851,0
u4297,1,31,11,19,8,4,0,0,58.65000153,19.60000038,0.334185272,54.71666718,3.933333397,0.932933927,28,11,0.392855734,3,0,0,0.903222919,0,16,1.891929388,17,18,5,4,7.833333492,0.13333334,3.661240339,31.35943413,0,761.9500122,18495.86914,0.7653175,16,3,0,14,8,5,1,8,5,6,27,11,0.407407403,1,55.36666489,2.050617218,19.60000038,0.354003608,3.951079845,27,11,0.407407403,1,55.36666489,2.050617218,19.60000038,0.354003608,3.951079845,27,11,0.407407403,1,55.36666489,2.050617218,19.60000038,0.354003608,3.951079845,17,4,0.235294119,1,34.75,2.044117689,9.983333588,0.287290156,4.786566734,1
u4410,1,54,37,52,0,2,0,0,40.83333206,28.51666641,0.698365629,38.26666641,2.566666603,0.937140584,51,36,0.70588094,3,1,0.333322227,0.944442689,0,30,0.756171465,17,26,18,0,3.783333302,0.06666667,0.626452506,19.04307747,0.033333335,146.7333374,1090.800781,1.260293841,38,0,0,9,28,10,1,20,18,9,4,3,0.75,1,0.933333337,0.233333334,0.366666675,0.392857134,0.038333334,9,7,0.777777791,1,3.983333349,0.442592591,3.083333254,0.77405858,0.137167349,27,18,0.666666687,1,15.25,0.564814806,9.949999809,0.652459025,0.298175573,4,3,0.75,1,0.933333337,0.233333334,0.366666675,0.392857134,0.038333334,1
u2308,1,84,69,80,2,2,0,0,206.3500061,130.3999939,0.631935716,124.4499969,81.90000153,0.603101254,58,47,0.810343444,26,22,0.846150577,0.690475345,0,43,2.456544638,33,52,9,5,30.36666679,0.100000001,23.82883453,12.39758873,0.016666668,97.30000305,251.8704681,1.93584466,54,10,2,11,24,15,0,36,34,12,11,10,0.909090936,1,20.58333397,1.871212125,20.25,0.983805656,5.555105686,12,11,0.916666687,1,21.14999962,1.762500048,20.81666756,0.984239578,5.222181797,26,23,0.884615362,1,69.53333282,2.674359083,38.45000076,0.552972198,35.29479218,7,7,1,1,14.76666641,2.109523773,14.76666641,1,7.127131462,0
