id,CALL_RDD_DAY38TODAY45_CNT,CALL_RDD_DAY38TODAY45_IN,CALL_RDD_DAY38TODAY45_INOUTRATIO,CALL_RDD_DAY38TODAY45_RECORD,CALL_RDD_DAY38TODAY45_TIME,CALL_RDD_DAY38TODAY45_TIME_AVG,CALL_RDD_DAY38TODAY45_TIME_IN,CALL_RDD_DAY38TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY38TODAY45_TIME_VAR
u4364,14,6,0.428571433,1,16.36666679,1.169047594,5.133333206,0.313645631,0.739994347
u3268,19,14,0.736842096,1,73.83333588,3.88596487,66.1166687,0.895485342,57.08790207
u4750,52,13,0.25,1,428.1666565,8.233974457,197.1000061,0.460334748,290.0204468
u2699,30,13,0.433333337,1,46.01666641,1.533888936,14,0.304237604,2.639286757
u3314,11,2,0.181818187,1,9.066666603,0.824242413,1.166666627,0.128676474,0.356836557
u1080,19,5,0.263157904,1,23.56666756,1.240350842,4.183333397,0.177510604,5.939833641
u3785,79,64,0.810126603,1,53.40000153,0.675949395,42.53333282,0.796504378,0.29001227
u4072,7,4,0.571428597,1,3.566666603,0.509523809,1.916666627,0.537383199,0.045782313
u3815,8,6,0.75,1,52.71666718,6.589583397,24.58333397,0.466329426,100.3909683
u1101,3,1,0.333333343,1,6.516666889,2.172222137,0.883333325,0.135549873,5.165617466
u3294,2,2,1,1,1.133333325,0.566666663,1.133333325,1,0.080277778
u3948,1,0,0,1,2.200000048,2.200000048,0,0,0
u1179,2,0,0,1,4.883333206,2.441666603,0,0,0.008402778
u0488,,0,,0,,,0,,
u2971,,0,,0,,,0,,
u2739,6,6,1,1,17.14999962,2.858333349,17.14999962,1,25.27747726
u2801,29,17,0.586206913,1,16.73333359,0.577011466,10.21666622,0.610557795,0.182153523
u4020,131,60,0.458015263,1,169.2833405,1.292239189,69.23332977,0.408979028,2.264785051
u2214,54,23,0.42592594,1,127.7666702,2.36604929,42.78333282,0.334855199,9.362129211
u3162,17,15,0.882352948,1,27.08333397,1.593137264,23.60000038,0.871384621,1.422452927
u4701,,0,,0,,,0,,
u2475,128,58,0.453125,1,226.7666626,1.771614552,110.5833359,0.48765251,7.913161278
u3067,38,18,0.473684222,1,27.26666641,0.71754384,14.71666622,0.539731026,0.506271183
u4347,45,20,0.444444448,1,32.61666489,0.724814832,12.05000019,0.369443029,0.283155829
u1070,1,1,1,1,0.100000001,0.100000001,0.100000001,1,0
u1790,79,36,0.455696195,1,99.69999695,1.262025356,49.5,0.496489465,1.803986907
u0835,10,4,0.400000006,1,22.75,2.275000095,3.849999905,0.169230774,3.849680662
u1039,68,55,0.808823526,1,64.05000305,0.941911757,54.88333511,0.856882632,2.183231115
u4202,9,9,1,1,1.950000048,0.216666669,1.950000048,1,0.041296296
u0382,23,2,0.086956523,1,77.59999847,3.37391305,4.800000191,0.06185567,12.17823219
u4410,9,7,0.777777791,1,3.983333349,0.442592591,3.083333254,0.77405858,0.137167349
u3939,30,13,0.433333337,1,103.6999969,3.456666708,31.73333359,0.306010932,25.86286354
u1397,67,18,0.268656731,1,168.1833344,2.51019907,27.51666641,0.163611144,15.26378918
u2282,36,29,0.805555582,1,83.31666565,2.314351797,78.18333435,0.938387692,13.93392181
u0266,92,27,0.293478251,1,253.3000031,2.753260851,71.65000153,0.28286618,19.24788094
u0813,2,1,0.5,1,17.28333282,8.641666412,10.08333302,0.58341372,2.078402758
u0234,62,39,0.629032254,1,53.21666718,0.858333349,32.84999847,0.617287815,0.566942215
u4974,92,32,0.347826093,1,71.6333313,0.778623164,23.98333359,0.334806889,0.287966937
u4770,168,96,0.571428597,1,198.5,1.181547642,104.8000031,0.527959704,2.305191994
u4723,7,1,0.142857149,1,26.28333282,3.754761934,3.533333302,0.134432465,10.94902515
u4988,,0,,0,,,0,,
u2630,22,11,0.5,1,16.08333397,0.731060624,10.73333359,0.667357504,0.74182564
u2378,16,8,0.5,1,25.45000076,1.590625048,13.23333359,0.519973814,3.621109962
u3532,3,0,0,1,1.016666651,0.338888884,0,0,0.018950617
u3919,4,4,1,1,1.816666722,0.454166681,1.816666722,1,0.071024306
u0572,50,26,0.519999981,1,64.68333435,1.29366672,38.04999924,0.588250458,2.145754337
u3596,16,10,0.625,1,27.63333321,1.727083325,13.6833334,0.495174915,1.641419291
u0492,1,0,0,1,1.149999976,1.149999976,0,0,0
u2627,17,14,0.823529422,1,123.4666672,7.262744904,118.9499969,0.963417947,99.26328278
u1486,3,1,0.333333343,1,3.583333254,1.194444418,0.800000012,0.223255813,0.171543211
u4547,323,185,0.572755396,1,279.4166565,0.865067065,153.5333405,0.549478054,0.780369818
u1144,30,24,0.800000012,1,58.41666794,1.947222233,55.43333435,0.948930085,5.108223915
u0736,8,5,0.625,1,7.783333302,0.972916663,4.900000095,0.629550338,0.842703998
u1717,125,52,0.416000009,1,149.5,1.19599998,49.28333282,0.329654396,4.906490803
u0029,,0,,0,,,0,,
u2536,106,54,0.509433985,1,142.8000031,1.347169757,48.75,0.341386557,4.158629417
u2829,37,20,0.540540516,1,28.38333321,0.767117143,19.14999962,0.674691737,0.490247548
u0791,25,7,0.280000001,1,12.16666698,0.486666679,2.75,0.226027399,0.078755558
u4341,201,72,0.358208954,1,91.48332977,0.455140948,32.33333206,0.353434145,0.094766274
u0958,64,33,0.515625,1,91.81666565,1.434635401,61.43333435,0.669086933,13.15241623
u3516,60,40,0.666666687,1,59.20000076,0.986666679,38.91666794,0.657376111,1.47176671
u4982,8,5,0.625,1,6.033333302,0.754166663,4,0.662983418,0.107204862
u4486,4,1,0.25,1,1.116666675,0.279166669,0.016666668,0.014925373,0.027274305
u1687,13,3,0.230769232,1,7.699999809,0.592307687,1.433333278,0.186147183,0.145496383
u3430,9,5,0.555555582,1,17.73333359,1.970370412,2.25,0.126879692,20.66338158
u0889,23,15,0.652173936,1,73.05000305,3.176086903,67.1333313,0.919005275,66.39306641
u1556,41,17,0.414634138,1,40.45000076,0.986585379,24.06666756,0.594973207,2.903566599
u4827,,0,,0,,,0,,
u1172,17,14,0.823529422,1,12.89999962,0.758823514,9.25,0.717054248,0.747618198
u0828,13,7,0.538461566,1,31.83333397,2.448717833,26.81666756,0.842408359,23.64980698
u0501,,0,,0,,,0,,
u0171,8,2,0.25,1,12.21666622,1.527083278,3.533333302,0.28922236,3.18075943
u4367,,0,,0,,,0,,
u0018,39,23,0.589743614,1,43.28333282,1.109829068,32.08333206,0.741239905,1.40171957
u2980,2,2,1,1,11.26666641,5.633333206,11.26666641,1,0.871111095
u0179,14,9,0.642857134,1,8.699999809,0.621428549,5.383333206,0.618773937,0.122199543
u3908,5,3,0.600000024,1,3.366666555,0.673333347,2.133333445,0.633663356,0.233844444
