id,CALL_RDD_RECORD,CALL_RDD_CNT,CALL_RDD_CNT_IN,CALL_RDD_LOCAL,CALL_RDD_IN_PROVINCE,CALL_RDD_BY_PROVINCE,CALL_RDD_GAT,CALL_RDD_INTERNATIONAL,CALL_RDD_TIME,CALL_RDD_TIME_IN,CALL_RDD_TIME_INOUTRATIO,CALL_RDD_TIME_PERSON,CALL_RDD_TIME_BUSINESS,CALL_RDD_TIME_PBRATIO,CALL_RDD_PERSON,CALL_RDD_PERSON_IN,CALL_RDD_PERSON_RATIO,CALL_RDD_BUSINESS,CALL_RDD_BUSINESS_IN,CALL_RDD_BUSINESS_RATIO,CALL_RDD_PBRATIO,CALL_RDD_HOWMANYPERSON,CALL_RDD_HOWMANYBUSINESS,CALL_RDD_AVGTIME,CALL_RDD_DAYTIME,CALL_RDD_AFTERNOON,CALL_RDD_NIGHT,CALL_RDD_BEFOREDAWN,CALL_RDD_MAXTIME,CALL_RDD_MINTIME,CALL_RDD_TIMEVAR,CALL_RDD_MEANFREQ,CALL_RDD_MINFREQ,CALL_RDD_MAXFREQ,CALL_RDD_VARFREQ,CALL_RDD_FREQONEDAY,CALL_RDD_SHORTTIME,CALL_RDD_LONGTIME,CALL_RDD_LLONGTIME,CALL_RDD_LIANTONG,CALL_RDD_YIDONG,CALL_RDD_DIANXIN,CALL_RDD_KEFU,CALL_RDD_DAYWITHCALL,CALL_RDD_DAYWITHCALLIN,CALL_RDD_DAYWITHCALLOUT
u3294,1,28,13,14,7,7,,,29.41666603,7.699999809,0.261755496,15.60000038,13.8166666,0.530309796,23,12,0.52173686,5,1,0.199995995,0.821425617,0,17,1.050591469,11,14,8,1,4.916666508,0.033333335,1.353437304,38.27097321,0.016666668,193.4333344,3444.8125,0.627105474,22,0,0,9,7,1,4,12,7,9
u2147,1,170,91,158,8,4,,,227.5833282,124.5166702,0.54712534,207.5833282,20,0.912119687,153,85,0.555555165,17,6,0.352939099,0.899999499,3,71,1.338724732,61,89,37,3,28.11666679,0.016666668,9.165052414,6.300788403,0,71.1166687,104.158844,3.808986664,117,5,2,18,24,89,0,39,34,32
u4232,1,3,3,3,,,,,1.166666627,1.166666627,0.999914289,0.866666675,0.300000012,0.7427935,2,2,0.999949992,1,1,0.999899983,0.666644454,0,3,0.388875932,2,1,0,0,0.466666669,0.300000012,0.004691202,156.9325562,100.2666702,213.6000061,3211.094971,0.152931854,3,0,0,1,0,0,0,3,3,
u2458,1,242,126,238,4,,,,312.9333191,178.6166687,0.570781648,301.1333313,11.80000019,0.962291956,228,126,0.552631319,14,0,0,0.942148387,0,42,1.293112397,88,114,36,66,9.833333015,0.033333335,1.724118471,4.385062218,0,51.41666794,56.15481949,5.473001957,131,8,0,39,143,30,0,43,39,34
u3531,1,626,183,594,19,13,,,493.7166748,141.9666595,0.287546784,454.7000122,39.01666641,0.920973361,580,176,0.30344823,46,7,0.152173579,0.926517427,0,258,0.788684666,258,436,63,2,17.25,0.016666668,0.835102141,1.703439951,0,22.71666718,17.46073914,14.08831024,484,2,0,188,310,80,3,45,44,45
u0244,1,318,162,277,5,36,,,1112.800049,584.7333374,0.525461257,1100.766724,12.03333378,0.989186347,310,155,0.499999851,8,7,0.874989092,0.974842489,0,95,3.49936986,129,165,71,25,32.76666641,0.100000001,20.71246719,3.352208138,0,53,37.1840477,7.159246445,106,63,5,8,267,33,0,43,39,41
u3749,1,138,76,120,,18,,,297.0166626,85.75,0.288704246,295.2666626,1.75,0.994107723,135,75,0.555555165,3,1,0.333322227,0.978260159,1,35,2.152293205,36,80,56,3,84.83333588,0.016666668,61.7853775,7.618125916,0,89.69999695,167.6468353,3.150339842,101,7,2,40,82,8,1,36,29,27
u0059,1,3,1,3,,,,,1.799999952,0.083333336,0.046293724,1.799999952,0,0.999944448,3,1,0.333322227,0,0,0,0.999966681,0,2,0.599979997,0,1,3,0,1.399999976,0.083333336,0.329063118,430.5395203,96.66666412,764.416687,111471.9609,0.055744,2,0,0,3,0,0,0,3,1,2
u1830,1,52,19,51,1,,,,90.3666687,18.86666679,0.208778813,81.96666718,8.399999619,0.907044351,49,19,0.387754321,3,0,0,0.942305863,0,19,1.737817168,17,27,9,7,10.39999962,0.016666668,3.987653732,20.76045418,0.016666668,306.3500061,2778.289795,1.156038523,24,5,0,12,9,28,1,21,10,18
u0864,1,126,69,99,,27,,,391.7000122,220.6666718,0.563356161,390.3833313,1.316666722,0.996638358,125,68,0.543999553,1,1,0.999899983,0.992062688,0,21,3.108727694,65,59,23,2,29.81666756,0.033333335,23.17643547,8.295999527,0,70.76667023,153.6031647,2.892925739,47,14,4,41,65,19,0,38,33,23
