,id,WA_WEB_TIMES,WA_WEB_TIMESA,WA_WEB_TIMESV,WA_WEB_TIME,WA_WEB_TIMEA,WA_WEB_TIMEV,WA_WEB_BU,WA_WEB_BUA,WA_WEB_BUV,WA_WEB_BD,WA_WEB_BDA,WA_WEB_BDV,WA_WEB_RATIO,WA_APP_TIMES,WA_APP_TIMESA,WA_APP_TIMESV,WA_APP_TIME,WA_APP_TIMEA,WA_APP_TIMEV,WA_APP_BU,WA_APP_BUA,WA_APP_BUV,WA_APP_BD,WA_APP_BDA,WA_APP_BDV,WA_APP_RATIO,WA_TIMES_RATIO,WA_TIMES,WA_TIMESA,WA_TIMESV,WA_TIME_RATIO,WA_TIME,WA_TIMEA,WA_TIMEV,WA_BU_RATIO,WA_BU,WA_BUA,WA_BUV,WA_BD_RATIO,WA_BD,WA_BDA,WA_BDV,WA_RATIO,WA_LT_WEB_TIMESA,WA_LT_WEB_TIMESV,WA_LT_WEB_TIMEA,WA_LT_WEB_TIMEV,WA_LT_WEB_BUA,WA_LT_WEB_BUV,WA_LT_WEB_BDA,WA_LT_WEB_BDV,WA_LT_APP_TIMESA,WA_LT_APP_TIMESV,WA_LT_APP_TIMEA,WA_LT_APP_TIMEV,WA_LT_APP_BUA,WA_LT_APP_BUV,WA_LT_APP_BDA,WA_LT_APP_BDV,WA_LT_TIMESA,WA_LT_TIMESV,WA_LT_TIMEA,WA_LT_TIMEV,WA_LT_BUA,WA_LT_BUV,WA_LT_BDA,WA_LT_BDV,times_v,time_v,up_v,down_v
0,u1421,28.0,0.6222222222222222,17.035061728395096,76912.0,1709.1555555555553,128533359.3758022,59118.0,1313.7333333333333,75939391.9288888,88804.0,1973.4222222222227,171353391.7550617,0.6657132554099889,46.0,1.0222223,45.977283,124775.0,2772.7778,338285060.0,63234.0,1405.2,86881830.0,174716.0,3882.578,663274050.0,0.3619245,0.6086943,74,1.6444444999999999,118.98468999999999,0.61640555,201687,4481.933,883860000.0,0.93490845,122352,2718.9333,325274340.0,0.5082763,263520,5856.0,1508880400.0,0.46429873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.14813,4896383500.0,1801945900.0,8358854700.0
1,u2720,37371.0,830.4666666666667,894503.3155555556,48605949.0,1080132.2,1572185577415.2722,1907979898.0,42399553.28888889,9774400438926754.0,7506062162.0,166801381.3777778,8.529207247411339e+16,0.2541918594358657,32826.0,729.4667,605679.25,42300182.0,940004.06,1050495200000.0,295280593.0,6561791.0,73905160000000.0,4718483288.0,104855180.0,2.110734e+16,0.06257956,1.1384573,70197,1559.9333,2647821.5,1.1490718,90906131,2020136.2,4592757000000.0,6.4615827,2203260491,48961344.0,1.0025091e+16,1.5907786,12224545450,271656580.0,1.3702689e+17,0.18023251,0.044444446,0.042469136,62.955555000000004,130775.64,428.1111,4561673.5,1176.2667,32765142.0,0.17777778,0.85728395,433.3111,4134225.0,1160.6888,43693830.0,3172.8667,246585020.0,0.22222222,0.97283953,496.26665999999994,4358916.5,1588.8,51962940.0,4349.1333,341833150.0,59022996.0,98968400000000.0,2.0707676e+17,2.203182e+18
2,u4838,134955.0,2999.0,8350737.955555555,169671479.0,3770477.311111111,12658709627783.105,410483130.0,9121847.333333334,164554335582720.62,6841407916.0,152031287.02222222,4.290572889732525e+16,0.05999980340888564,66121.0,1469.3556,2512756.8,90040783.0,2000906.2,4555417300000.0,270963270.0,6021406.0,42557606000000.0,11098888460.0,246641970.0,1.0358342e+17,0.02441355,2.0410310000000003,201076,4468.3555,12468812.0,1.8843848,259712262,5771383.5,20157745000000.0,1.5149032,681446400,15143253.0,211012550000000.0,0.6164048000000001,17940296376,398673250.0,1.3067363e+17,0.03798412,0.22222222,0.8839505999999999,144.13333,914074.4,9979.688,1706036500.0,84373.07,109988090000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222,0.8839505999999999,144.13333,914074.4,9979.688,1706036500.0,84373.07,109988090000.0,171254240.0,253523680000000.0,3491275000000000.0,4.3352665e+17
3,u2147,19704.0,437.86666666666673,164677.7599999999,23762035.0,528045.2222222221,226349481176.48404,97491371.0,2166474.9111111118,21208369599606.08,591881733.0,13152927.4,644363242437848.5,0.16471427578249576,20942.0,465.37778,192840.95,29284688.0,650770.9,382063970000.0,234982150.0,5221825.5,162690680000000.0,952325829.0,21162796.0,680638400000000.0,0.24674554,0.94088435,40646,903.24445,659881.4,0.811415,53046723,1178816.1,1138242500000.0,0.4148884,332473521,7388300.5,213471200000000.0,0.6215118000000001,1544207562,34315724.0,1980847200000000.0,0.21530364,0.2,0.60444444,234.08888,833978.75,100.333336,99974.664,37.933334,11579.128999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.60444444,234.08888,833978.75,100.333336,99974.664,37.933334,11579.128999999999,16215537.0,27453672000000.0,2625131800000000.0,4.135235e+16
4,u1538,3338.0,74.17777777777778,78917.16839506174,3731833.0,82929.62222222223,100471801230.4574,5391875.0,119819.44444444445,216899613140.3352,12696917.0,282153.7111111111,1298261753832.384,0.42466017537623774,2080.0,46.22222,33091.996,2742575.0,60946.11,61890900000.0,1405237.0,31227.487999999998,16640273000.0,4344160.0,96536.89,287861240000.0,0.32347727,1.6048076,5418,120.4,212381.8,1.3607041000000002,6474408,143875.73,316132660000.0,3.8369863,6797112,151046.94,346122650000.0,2.9227555,17041077,378690.6,2552375000000.0,0.39886633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4075239.2,5820197000000.0,6416507600000.0,40332470000000.0
5,u4973,14023.0,311.62222222222215,594301.7906172838,15487662.0,344170.26666666666,746626845874.8192,62108750.0,1380194.4444444443,31108989195820.73,883539848.0,19634218.844444446,5046178917702993.0,0.07029535808779161,9979.0,221.75555,294004.28,15319775.0,340439.44,697235500000.0,27237263.0,605272.5,2440642700000.0,415944554.0,9243212.0,912893200000000.0,0.065482914,1.405251,24002,533.3778,1705720.4,1.0109588,30807437,684609.7,2840438500000.0,2.2802860000000003,89346013,1985467.0,48016940000000.0,2.124177,1299484402,28877432.0,9473911000000000.0,0.06875497,0.37777779,1.9683951000000002,741.1333599999999,9523936.0,6770.378000000001,604299500.0,74030.36,89349570000.0,0.51111114,5.6276546,803.6445,9899049.0,3347.4666,335750430.0,16174.223,8540592000.0,0.8888889000000001,8.632099,1544.7778,23024484.0,10117.845,1006326340.0,90204.58,98748310000.0,78615544.0,129378890000000.0,1091066040000000.0,2.245182e+17
6,u1447,16406.0,364.5777777777778,395849.48839506187,22153742.0,492305.3777777778,728384341885.3019,99339738.0,2207549.733333333,22349843227402.6,1178726404.0,26193920.08888889,1.4133308688221532e+16,0.08427718057632616,11731.0,260.6889,139422.48,17528750.0,389527.78,309124330000.0,128164881.0,2848108.5,52602750000000.0,1368991218.0,30422028.0,4481108500000000.0,0.09361994,1.3985168,28137,625.26666,805899.8,1.2638518,39682492,881833.1,1593022600000.0,0.77509326,227504619,5055658.0,90960050000000.0,0.86101824,2547717622,56615948.0,2.3871684e+16,0.08929742,0.42222223,1.2661729,1084.3556,9637076.0,628.75555,4769705.0,9583.533000000001,2238424300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42222223,1.2661729,1084.3556,9637076.0,628.75555,4769705.0,9583.533000000001,2238424300.0,3859006.5,7118913500000.0,584415600000000.0,1.2020993e+17
7,u4861,56261.0,1250.2444444444445,988765.473580247,74409233.0,1653538.5111111111,1691313550464.0718,166336321.0,3696362.688888889,15314650607312.756,735032622.0,16334058.266666668,312653203886317.25,0.2262978757968342,23660.0,525.7778,329853.06,30236276.0,671917.25,468140850000.0,155304910.0,3451220.2,20234805000000.0,1011019178.0,22467092.0,707652200000000.0,0.15361223,2.377895,79921,1776.0222,1699280.4,2.4609257999999996,104645509,2325455.8,2817111600000.0,1.0710306,321641231,7147583.0,53269573000000.0,0.72702146,1746051800,38801150.0,1318726100000000.0,0.18421058,0.4,2.1955554,406.13333,3681124.0,803.26666,15355090.0,7389.8667,2079131400.0,0.82222223,14.457284,1312.9333,38993556.0,7325.9556,1396411600.0,64608.066,93918130000.0,1.2222222,19.995062,1719.0667,48735350.0,8129.222,1493001700.0,71997.93,109892070000.0,38007064.0,64642278000000.0,1097199300000000.0,1.9203048e+16
8,u2198,15675.0,348.33333333333326,394136.71111111133,25340591.0,563124.2444444444,1155222910603.251,57715801.0,1282573.3555555556,15368050365543.285,1185362043.0,26341378.73333333,1.2581250067397702e+16,0.048690441321981096,14301.0,317.8,292659.22,23624432.0,524987.4,810935840000.0,60720399.0,1349342.2,14167166000000.0,602669048.0,13392646.0,2624083300000000.0,0.10075247,1.0960771999999999,29976,666.1333599999999,1071457.1,1.0726434,48965023,1088111.6,2974294500000.0,0.9505174999999999,118436200,2631915.5,31507582000000.0,1.966854,1788031091,39734024.0,1.5690529e+16,0.066238336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24674626.0,66252043000000.0,534458300000000.0,1.7623051e+17
9,u3815,114922.0,2553.822222222222,5844064.857283952,137383496.0,3052966.5777777783,8236010438144.6,582430415.0,12942898.111111112,327445200045761.6,5539694581.0,123104324.02222222,2.169398750720614e+16,0.105137640078138,65877.0,1463.9333,847518.56,82326941.0,1829487.6,1178425800000.0,214213400.0,4760298.0,5634734000000.0,4157208262.0,92382410.0,9778564000000000.0,0.051528186,1.7444935000000001,180799,4017.7556,5281621.0,1.668755,219710437,4882454.0,7554520000000.0,2.7189262000000003,796643815,17703196.0,326862550000000.0,1.3325516000000002,9696902843,215486740.0,3.2972567e+16,0.08215446,0.84444445,4.3535805,1069.0,9604759.0,7174.710999999999,330434800.0,54239.155999999995,21264914000.0,0.8,7.76,1013.8,12007323.0,4742.532999999999,293283780.0,21023.355,6148567000.0,1.6444444999999999,14.406914000000002,2082.8,19719624.0,11917.243999999999,799055400.0,75262.51,28084003000.0,92842664.0,154339780000000.0,3808187000000000.0,3.950162e+17
